epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8425,2.79956,3.13496,1.08939,0.39398,0.56375,0.41151,0.16302,1.94336,2.37142,0.85408,0.0002858,0.0002858,0.0002858
2,164.891,1.99089,1.58589,0.87366,0.47422,0.59969,0.52055,0.21743,1.88622,1.74301,0.83499,0.000562689,0.000562689,0.000562689
3,242.162,1.98088,1.39693,0.86827,0.63913,0.53834,0.57135,0.20942,2.11579,1.50002,0.85565,0.00081581,0.00081581,0.00081581
4,356.978,1.98555,1.2647,0.87057,0.62624,0.57499,0.57867,0.20962,2.12175,1.51681,0.86274,0.00104516,0.00104516,0.00104516
5,443.596,1.91953,1.20434,0.87259,0.81141,0.58876,0.69343,0.31245,1.7844,1.132,0.83222,0.00120265,0.00120265,0.00120265
6,524.194,1.90116,1.10264,0.87129,0.74857,0.65373,0.71995,0.33093,1.78196,1.041,0.83238,0.00114606,0.00114606,0.00114606
7,603.155,1.83487,1.02659,0.85096,0.82831,0.64669,0.73385,0.31463,1.80325,1.05744,0.83405,0.00108947,0.00108947,0.00108947
8,683.689,1.78755,0.99177,0.84791,0.79809,0.64484,0.73757,0.29285,1.92298,1.01807,0.84536,0.00103288,0.00103288,0.00103288
9,763.748,1.93957,1.04713,0.87189,0.8039,0.67997,0.75099,0.36023,1.67773,0.93542,0.82833,0.000976293,0.000976293,0.000976293
10,846.447,1.80888,0.94195,0.85347,0.82921,0.61366,0.73471,0.35514,1.7203,0.99837,0.82811,0.000919704,0.000919704,0.000919704
11,996.208,1.79717,0.93837,0.85142,0.80099,0.66934,0.75722,0.35785,1.6936,0.93358,0.82739,0.000863116,0.000863116,0.000863116
12,1160.9,1.76944,0.93806,0.84739,0.79274,0.68261,0.76909,0.35883,1.74389,0.90603,0.8281,0.000806528,0.000806528,0.000806528
13,1332.3,1.78123,0.90406,0.85245,0.83079,0.68362,0.77944,0.37524,1.61185,0.88003,0.8178,0.000749939,0.000749939,0.000749939
14,1502.12,1.69286,0.88295,0.8572,0.80916,0.72694,0.7987,0.39287,1.63639,0.85355,0.82121,0.000693351,0.000693351,0.000693351
15,1710.8,1.73704,0.89428,0.85487,0.81163,0.7094,0.79218,0.38466,1.65344,0.85592,0.82229,0.000636762,0.000636762,0.000636762
16,1882.08,1.67029,0.88317,0.84384,0.78596,0.70657,0.78008,0.39311,1.66018,0.89575,0.82203,0.000580174,0.000580174,0.000580174
17,2057.29,1.65973,0.84084,0.85389,0.80588,0.68498,0.76378,0.37373,1.64082,0.89703,0.81939,0.000523586,0.000523586,0.000523586
18,2217.16,1.67179,0.85199,0.84288,0.79195,0.70987,0.78528,0.37794,1.65225,0.85255,0.81957,0.000466997,0.000466997,0.000466997
19,2297.7,1.58163,0.80095,0.83409,0.79646,0.72183,0.79753,0.39619,1.63018,0.85637,0.81838,0.000410409,0.000410409,0.000410409
20,2377.47,1.60349,0.79742,0.84376,0.78503,0.69875,0.7848,0.38443,1.61508,0.86974,0.81661,0.00035382,0.00035382,0.00035382
21,2454.85,1.58888,0.78097,0.8443,0.78515,0.69678,0.77846,0.35999,1.71174,0.88085,0.82468,0.000297232,0.000297232,0.000297232
22,2532.75,1.5549,0.78937,0.84804,0.76692,0.71994,0.80035,0.41876,1.54959,0.81655,0.81602,0.000240644,0.000240644,0.000240644
23,2667.91,1.46762,0.72559,0.83171,0.80516,0.71512,0.8043,0.41167,1.62089,0.82205,0.82018,0.000184055,0.000184055,0.000184055
24,2759.43,1.49987,0.72333,0.83019,0.81911,0.76454,0.82448,0.42787,1.56323,0.76694,0.81658,0.000127467,0.000127467,0.000127467
25,2839.41,1.50544,0.72473,0.83423,0.82755,0.74743,0.82295,0.42195,1.57625,0.77319,0.8167,7.08784e-05,7.08784e-05,7.08784e-05
