epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53072,2.92865,5.8081,0.93529,0.2191,0.15385,0.11498,0.03784,3.13404,4.66279,0.85913,0.0001,0.0001,0.0001
2,7.52585,3.32611,2.94816,0.95014,0.73936,0.39289,0.4053,0.13653,2.51721,4.63304,0.82027,0.000217096,0.000217096,0.000217096
3,11.2806,2.60554,1.3228,0.89991,0.46929,0.26154,0.25898,0.07971,2.62022,4.21537,0.83887,0.000331024,0.000331024,0.000331024
4,14.6818,2.22822,1.21303,0.74593,0.5618,0.36923,0.36624,0.08425,3.43137,5.2746,0.83573,0.000441784,0.000441784,0.000441784
5,17.7373,2.27552,1.16402,0.71906,0.76101,0.6,0.60767,0.19948,2.57443,3.97377,0.81016,0.000549376,0.000549376,0.000549376
6,19.8706,2.41725,1.00088,0.84972,0.7533,0.69231,0.63188,0.15392,2.95948,3.44401,0.8206,0.0006538,0.0006538,0.0006538
7,22.8439,2.30903,0.98577,0.87343,0.7108,0.69231,0.66389,0.25231,2.31702,2.72023,0.79,0.000755056,0.000755056,0.000755056
8,26.5675,2.47999,1.17547,0.80658,0.90594,0.67692,0.78783,0.25587,2.40833,1.75667,0.79741,0.000853144,0.000853144,0.000853144
9,29.7756,2.45187,1.05473,0.80402,0.78164,0.50769,0.65774,0.14923,3.04041,1.97717,0.86055,0.000948064,0.000948064,0.000948064
10,33.4394,2.60186,1.01838,0.77402,0.76122,0.46154,0.55198,0.17309,2.77467,1.72487,0.8297,0.00103982,0.00103982,0.00103982
11,37.0618,2.12329,0.99543,0.7437,0.77072,0.72308,0.74481,0.22329,2.44098,3.38022,0.82076,0.0011284,0.0011284,0.0011284
12,40.5186,2.3319,1.04506,0.78399,0.85401,0.69231,0.75258,0.23108,2.57531,2.3832,0.80675,0.00121382,0.00121382,0.00121382
13,44.0879,2.02883,1.04413,0.77735,0.75925,0.81538,0.75695,0.24469,2.73491,3.7342,0.80832,0.00129606,0.00129606,0.00129606
14,46.5208,2.32841,1.03569,0.83331,0.82995,0.83077,0.79236,0.2365,2.63144,5.57355,0.80736,0.00137514,0.00137514,0.00137514
15,50.3787,2.51436,1.01601,0.83884,0.75817,0.77175,0.71256,0.22605,2.69747,3.66626,0.80757,0.00145106,0.00145106,0.00145106
16,54.4971,1.93024,0.89134,0.69823,0.88362,0.81765,0.84847,0.28883,2.51417,1.93406,0.8064,0.0015238,0.0015238,0.0015238
17,58.4477,2.21696,0.89445,0.8385,0.90373,0.72211,0.84225,0.3269,2.07897,1.89866,0.78584,0.0015776,0.0015776,0.0015776
18,60.5476,2.10052,0.75565,0.83349,0.81558,0.74847,0.79661,0.31429,2.10103,2.28995,0.77848,0.0015512,0.0015512,0.0015512
19,62.6126,2.51314,1.07118,0.80273,0.81466,0.74391,0.81147,0.29185,2.25357,2.09627,0.78884,0.0015248,0.0015248,0.0015248
20,64.866,2.12174,0.79873,0.76243,0.86874,0.61101,0.83854,0.31711,2.00745,1.28488,0.77876,0.0014984,0.0014984,0.0014984
21,67.1686,2.12302,0.8931,0.79131,0.87068,0.62156,0.85933,0.39981,1.85155,1.10545,0.76171,0.001472,0.001472,0.001472
22,69.308,2.11779,0.81594,0.81986,0.84316,0.8,0.82839,0.3553,2.06668,1.30652,0.77179,0.0014456,0.0014456,0.0014456
23,71.8464,1.86734,0.95918,0.66307,0.86599,0.81538,0.81243,0.35753,1.99037,1.63013,0.77266,0.0014192,0.0014192,0.0014192
24,75.4407,2.24969,0.95075,0.73514,0.84265,0.86154,0.86305,0.38734,1.76667,1.28355,0.76022,0.0013928,0.0013928,0.0013928
25,79.1809,2.24469,0.81085,0.78775,0.82567,0.80152,0.78577,0.36784,1.82591,1.11339,0.76276,0.0013664,0.0013664,0.0013664
