epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1682,2.22602,21.0281,1.79597,0.22324,0.3,0.14091,0.07777,1.40546,7.15234,1.52799,0.00038,0.00038,0.00038
2,73.0783,1.32235,3.34066,1.31426,0.05185,0.1,0.01749,0.0087,1.6213,12.0763,1.52101,0.000749112,0.000749112,0.000749112
3,109.4,1.38826,3.36837,1.33817,0.07869,0.3,0.06533,0.03329,1.8154,9.39451,2.06869,0.00108654,0.00108654,0.00108654
4,144.877,1.84686,3.2343,1.6849,0.0096,0.3,0.11836,0.02204,3.11356,93.9442,7.0997,0.0013923,0.0013923,0.0013923
5,179.517,1.74243,3.05973,1.66709,0.00042,0.5,0.00031,8e-05,3.82022,2339.35,6.0717,0.00166637,0.00166637,0.00166637
6,214.633,1.90814,2.79961,1.67649,0.00155,0.3,0.00133,0.00019,3.45993,688.095,5.0875,0.001604,0.001604,0.001604
7,249.988,1.75333,2.86814,1.67822,0,0,0,0,0.76768,15.4516,1.88454,0.0015248,0.0015248,0.0015248
8,284.754,1.71548,3.15706,1.52516,0.01566,0.1,0.01228,0.00622,3.80486,9.95337,5.54058,0.0014456,0.0014456,0.0014456
9,320.253,1.84627,3.28318,1.69915,0.70328,0.24394,0.37163,0.18528,1.98788,11.0254,2.28616,0.0013664,0.0013664,0.0013664
10,355.41,1.9103,2.58049,1.63249,0.67123,0.5,0.58872,0.33371,1.39558,5.0572,1.52326,0.0012872,0.0012872,0.0012872
11,389.492,1.53214,2.52808,1.33299,0.55836,0.63407,0.55566,0.35916,1.41618,2.60913,1.62674,0.001208,0.001208,0.001208
12,424.689,1.67864,2.32785,1.32297,0.46342,0.6,0.53503,0.31005,1.46421,1.99553,1.62252,0.0011288,0.0011288,0.0011288
13,458.833,1.55804,2.00832,1.44206,0.45836,0.5084,0.50596,0.23822,1.97375,2.69904,1.89922,0.0010496,0.0010496,0.0010496
14,494.048,1.53295,2.23586,1.42265,0.37819,0.6,0.33625,0.1528,1.74705,6.27801,1.79987,0.0009704,0.0009704,0.0009704
15,529.097,1.63535,2.14607,1.50082,0.57733,0.7,0.67488,0.44091,1.13355,3.46908,1.32167,0.0008912,0.0008912,0.0008912
16,563.277,1.18754,2.68709,1.22693,0.33563,0.4,0.2602,0.16128,1.31198,2.60739,1.47172,0.000812,0.000812,0.000812
17,597.181,1.3787,2.28249,1.44579,1,0.28402,0.45384,0.26251,1.40066,2.1982,1.4949,0.0007328,0.0007328,0.0007328
18,631.623,1.07473,1.6031,1.19301,1,0.29116,0.52278,0.29784,1.26551,1.85084,1.40279,0.0006536,0.0006536,0.0006536
19,665.44,1.02454,1.61297,1.11123,0.68065,0.7,0.73211,0.52256,1.07781,1.37777,1.23828,0.0005744,0.0005744,0.0005744
20,701.125,1.05862,1.63982,1.18995,0.67416,0.8,0.84928,0.61034,1.07851,1.17756,1.23382,0.0004952,0.0004952,0.0004952
21,744.047,1.01841,1.36551,1.00518,0.85787,0.60408,0.82496,0.57918,1.2224,1.61717,1.30067,0.000416,0.000416,0.000416
22,788.451,1.06606,1.62179,1.15357,0.87887,0.72788,0.93643,0.68504,1.04583,1.43042,1.2494,0.0003368,0.0003368,0.0003368
23,834.656,1.03004,1.35079,1.19921,0.75227,1,0.90077,0.60121,0.96501,1.12828,1.22832,0.0002576,0.0002576,0.0002576
24,879.393,1.13909,1.40698,1.20724,0.82707,1,0.93944,0.67067,0.92378,1.09208,1.20071,0.0001784,0.0001784,0.0001784
25,927.969,0.94879,1.21046,1.09356,0.82967,1,0.95833,0.71813,0.85311,1.08391,1.16912,9.92e-05,9.92e-05,9.92e-05
