epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1428,2.92469,3.33147,1.1162,0.41398,0.35078,0.28342,0.10742,2.08672,3.4204,0.86286,0.0002858,0.0002858,0.0002858
2,85.5924,2.14014,1.73392,0.88087,0.39114,0.56983,0.42371,0.16759,1.98889,2.60371,0.86522,0.000562689,0.000562689,0.000562689
3,127.843,2.04542,1.55962,0.87706,0.53316,0.52816,0.56249,0.22417,1.97928,1.89885,0.85918,0.00081581,0.00081581,0.00081581
4,169.561,1.96431,1.34279,0.87152,0.57773,0.59461,0.61458,0.25753,1.97968,1.42137,0.86087,0.00104516,0.00104516,0.00104516
5,210.378,1.95755,1.31799,0.86116,0.75391,0.50564,0.61452,0.2705,1.93814,1.26109,0.86336,0.00120265,0.00120265,0.00120265
6,251.655,1.9323,1.22639,0.87216,0.65396,0.60794,0.65908,0.27404,1.94472,1.22784,0.86823,0.00114606,0.00114606,0.00114606
7,312.347,1.89609,1.08927,0.85931,0.62151,0.61321,0.67298,0.2979,1.86892,1.07054,0.86106,0.00108947,0.00108947,0.00108947
8,370.416,1.87029,1.10896,0.85543,0.74086,0.62706,0.71823,0.32544,1.84196,0.99324,0.85172,0.00103288,0.00103288,0.00103288
9,429.997,1.84956,1.0895,0.86343,0.62612,0.65949,0.68357,0.32561,1.77887,1.08799,0.84751,0.000976293,0.000976293,0.000976293
10,488.839,1.84715,1.07425,0.85205,0.77876,0.55528,0.6804,0.32016,1.84191,1.09267,0.85886,0.000919704,0.000919704,0.000919704
11,546.128,1.84624,1.04022,0.85174,0.6801,0.61919,0.69388,0.32871,1.80278,1.12976,0.8484,0.000863116,0.000863116,0.000863116
12,595.695,1.86152,1.04363,0.8478,0.69757,0.6515,0.70443,0.32402,1.80084,1.04685,0.84517,0.000806528,0.000806528,0.000806528
13,637.041,1.76241,1.01064,0.84513,0.79637,0.64501,0.73574,0.34003,1.76382,0.96321,0.84263,0.000749939,0.000749939,0.000749939
14,678.905,1.74415,0.99289,0.84241,0.75022,0.70608,0.77042,0.38002,1.70639,0.91901,0.83992,0.000693351,0.000693351,0.000693351
15,722.111,1.70871,0.95378,0.83954,0.76877,0.66325,0.77996,0.37214,1.73589,0.93635,0.84892,0.000636762,0.000636762,0.000636762
16,764.666,1.72754,0.97281,0.85404,0.77979,0.63479,0.72653,0.34007,1.83451,0.94994,0.85137,0.000580174,0.000580174,0.000580174
17,806.72,1.72992,0.91298,0.84238,0.77143,0.67713,0.76134,0.37371,1.70824,0.90988,0.84142,0.000523586,0.000523586,0.000523586
18,849.53,1.68812,0.88389,0.83467,0.76976,0.72154,0.7831,0.37421,1.76327,0.89458,0.84714,0.000466997,0.000466997,0.000466997
19,893.63,1.64626,0.84644,0.8382,0.85736,0.68556,0.79897,0.39419,1.66957,0.86112,0.84319,0.000410409,0.000410409,0.000410409
20,937.377,1.6001,0.84589,0.84621,0.81879,0.6975,0.79245,0.38624,1.70811,0.84409,0.84253,0.00035382,0.00035382,0.00035382
21,979.75,1.55598,0.82385,0.84083,0.83789,0.70655,0.7998,0.39415,1.67898,0.82485,0.84183,0.000297232,0.000297232,0.000297232
22,1022.49,1.59725,0.82143,0.83832,0.85077,0.71783,0.80445,0.3946,1.68123,0.84033,0.84136,0.000240644,0.000240644,0.000240644
23,1064.85,1.54109,0.76275,0.84553,0.80246,0.65754,0.75206,0.36009,1.72657,0.87275,0.8456,0.000184055,0.000184055,0.000184055
24,1107.87,1.53128,0.77634,0.83739,0.82995,0.71212,0.79698,0.3797,1.66761,0.83177,0.84254,0.000127467,0.000127467,0.000127467
25,1150.01,1.48271,0.7782,0.8363,0.81304,0.73187,0.79898,0.39501,1.64663,0.81934,0.83974,7.08784e-05,7.08784e-05,7.08784e-05
