epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.915,1.32214,3.79486,1.05629,0.79719,0.71514,0.77273,0.60415,0.87115,3.80517,0.84119,0.00038,0.00038,0.00038
2,273.426,1.19034,1.49063,0.99994,0.6447,0.72727,0.73842,0.52285,1.07335,2.23424,0.93572,0.000749112,0.000749112,0.000749112
3,416.184,1.24,1.14349,0.99224,0.65635,0.90909,0.87625,0.61581,1.10563,2.41448,0.99765,0.00108654,0.00108654,0.00108654
4,572.164,1.25954,1.33076,1.04913,0.89769,0.79827,0.84532,0.61385,1.00277,1.29964,0.96413,0.0013923,0.0013923,0.0013923
5,709.902,1.51239,1.84084,1.09425,0.94689,0.81072,0.89329,0.64443,1.14816,1.99699,0.98727,0.00166637,0.00166637,0.00166637
6,846.294,1.23162,0.9632,1.04023,0.83528,0.92238,0.90523,0.66809,1.04356,1.0768,1.02599,0.001604,0.001604,0.001604
7,935.684,1.19117,0.8047,0.99582,0.94204,0.86364,0.94586,0.65108,1.06021,0.90772,1.00213,0.0015248,0.0015248,0.0015248
8,1054.02,1.17039,0.80183,1.0062,0.78571,0.95455,0.9279,0.61204,1.17707,0.9823,1.00251,0.0014456,0.0014456,0.0014456
9,1186.52,1.22513,0.85578,1.00794,0.86982,0.91119,0.97521,0.68259,1.03422,0.76586,0.97341,0.0013664,0.0013664,0.0013664
10,1246.55,1.09664,0.75676,0.99764,0.92065,0.95455,0.9499,0.67738,1.01578,0.81503,0.9724,0.0012872,0.0012872,0.0012872
11,1304.17,1.09401,0.69729,0.97414,0.89055,0.77273,0.84193,0.60962,1.04761,0.95061,1.00551,0.001208,0.001208,0.001208
12,1362.66,1.05345,0.67753,0.99213,0.86774,0.72727,0.80997,0.59102,1.06337,0.96697,0.98915,0.0011288,0.0011288,0.0011288
13,1421.25,1.08241,0.67257,0.98372,0.88235,0.90909,0.97321,0.71966,0.90545,0.70281,0.91027,0.0010496,0.0010496,0.0010496
14,1515.6,0.99454,0.69017,0.9462,0.91097,0.93075,0.9625,0.73814,0.76246,0.67298,0.86919,0.0009704,0.0009704,0.0009704
15,1647.02,1.00655,0.69976,0.97934,0.90463,0.81818,0.95285,0.72733,0.83791,0.70412,0.8879,0.0008912,0.0008912,0.0008912
16,1741.6,1.00873,0.69848,0.96449,0.83763,0.93838,0.95786,0.75984,0.90384,0.66726,0.91824,0.000812,0.000812,0.000812
17,1801.46,0.911,0.58323,0.9326,0.77856,1,0.96363,0.72898,0.91414,0.66302,0.92406,0.0007328,0.0007328,0.0007328
18,1845.83,0.92501,0.5881,0.94601,0.79508,1,0.95956,0.72228,0.89635,0.73811,0.90807,0.0006536,0.0006536,0.0006536
19,1881.81,0.92439,0.58747,0.97871,0.8732,1,0.9699,0.7436,0.86531,0.6637,0.91624,0.0005744,0.0005744,0.0005744
20,1917.5,0.9684,0.60815,0.96617,0.90787,0.95455,0.9778,0.76222,0.90379,0.59454,0.91828,0.0004952,0.0004952,0.0004952
21,1952.89,0.89872,0.53463,0.91831,0.9344,0.90909,0.97399,0.76515,0.86209,0.56951,0.90761,0.000416,0.000416,0.000416
22,1987.44,0.9368,0.56581,0.94465,0.91085,0.92929,0.98131,0.76488,0.82556,0.62766,0.8944,0.0003368,0.0003368,0.0003368
23,2022.07,0.85132,0.52854,0.94569,0.95417,0.94658,0.97941,0.74834,0.82118,0.59223,0.89671,0.0002576,0.0002576,0.0002576
24,2057.14,0.78777,0.48187,0.903,0.95232,0.90788,0.97189,0.75023,0.82565,0.58407,0.89605,0.0001784,0.0001784,0.0001784
25,2091.8,0.85227,0.50027,0.92853,0.95219,0.90552,0.97189,0.75073,0.81893,0.57034,0.89426,9.92e-05,9.92e-05,9.92e-05
