epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1474,2.17461,2.87204,1.17336,0.5581,0.65544,0.60233,0.30762,1.49586,1.68334,0.90215,0.0002858,0.0002858,0.0002858
2,146.835,1.49514,1.29611,0.91885,0.70911,0.69129,0.76976,0.39792,1.51322,1.21298,0.91541,0.000562689,0.000562689,0.000562689
3,217.702,1.51911,1.14545,0.91052,0.66129,0.83535,0.81452,0.42321,1.52668,1.36465,0.92779,0.00081581,0.00081581,0.00081581
4,288.934,1.45795,1.00197,0.89808,0.56365,0.66592,0.71006,0.36008,1.59699,1.49425,0.91539,0.00104516,0.00104516,0.00104516
5,373.943,1.44665,0.9346,0.89928,0.69355,0.81705,0.87601,0.47642,1.43617,1.03385,0.9182,0.00120265,0.00120265,0.00120265
6,445.286,1.37522,0.87299,0.89795,0.80379,0.8216,0.87846,0.4825,1.4189,0.92397,0.89044,0.00114606,0.00114606,0.00114606
7,516.815,1.34421,0.83034,0.87766,0.82056,0.84659,0.89979,0.52413,1.30409,0.89751,0.88316,0.00108947,0.00108947,0.00108947
8,654.663,1.27737,0.75274,0.87727,0.92438,0.87945,0.92304,0.50989,1.35113,0.75809,0.87993,0.00103288,0.00103288,0.00103288
9,761.43,1.28876,0.75841,0.88435,0.91526,0.8674,0.93653,0.54956,1.31406,0.74384,0.88251,0.000976293,0.000976293,0.000976293
10,847.529,1.28893,0.73157,0.87806,0.87225,0.91514,0.94357,0.55606,1.31701,0.7226,0.88399,0.000919704,0.000919704,0.000919704
11,921.573,1.27585,0.74063,0.87527,0.89232,0.91417,0.94689,0.53219,1.29528,0.72171,0.87083,0.000863116,0.000863116,0.000863116
12,998.982,1.25092,0.69411,0.87865,0.92458,0.84805,0.931,0.5325,1.31551,0.69647,0.87529,0.000806528,0.000806528,0.000806528
13,1073.35,1.26131,0.67198,0.87849,0.88788,0.9132,0.94326,0.55702,1.2878,0.67829,0.87064,0.000749939,0.000749939,0.000749939
14,1167.79,1.25048,0.67663,0.86867,0.93894,0.9016,0.94711,0.56542,1.25897,0.697,0.86493,0.000693351,0.000693351,0.000693351
15,1268.96,1.20359,0.65282,0.86826,0.9383,0.9269,0.96294,0.57934,1.24593,0.65304,0.86035,0.000636762,0.000636762,0.000636762
16,1347.48,1.18089,0.64146,0.87095,0.9159,0.94758,0.96147,0.57111,1.25701,0.66638,0.86757,0.000580174,0.000580174,0.000580174
17,1438.25,1.16787,0.62722,0.86743,0.89732,0.92189,0.94187,0.56378,1.26711,0.67338,0.86686,0.000523586,0.000523586,0.000523586
18,1533.19,1.14989,0.6117,0.86337,0.91274,0.9307,0.95946,0.59042,1.21997,0.6426,0.86449,0.000466997,0.000466997,0.000466997
19,1623.72,1.18122,0.60928,0.87442,0.92442,0.93886,0.95461,0.56801,1.30744,0.66838,0.87463,0.000410409,0.000410409,0.000410409
20,1696.04,1.18943,0.61947,0.8605,0.92656,0.92288,0.95694,0.57532,1.24246,0.65387,0.85933,0.00035382,0.00035382,0.00035382
21,1768.8,1.10815,0.57585,0.85167,0.9356,0.95108,0.9612,0.58882,1.23246,0.64118,0.8629,0.000297232,0.000297232,0.000297232
22,1842.01,1.10649,0.566,0.85829,0.92468,0.95722,0.96282,0.59326,1.21278,0.62434,0.85688,0.000240644,0.000240644,0.000240644
23,1913.68,1.09946,0.56325,0.84682,0.92031,0.93585,0.95905,0.5821,1.22083,0.65202,0.85887,0.000184055,0.000184055,0.000184055
24,2007.97,1.04844,0.54228,0.85641,0.92423,0.94102,0.95632,0.58708,1.20532,0.61465,0.8558,0.000127467,0.000127467,0.000127467
25,2079.21,1.10849,0.53848,0.85824,0.92858,0.95258,0.97161,0.59826,1.20257,0.61185,0.85752,7.08784e-05,7.08784e-05,7.08784e-05
