epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8145,3.30588,5.00686,1.32411,0.74224,0.52899,0.59314,0.26725,1.98892,2.37604,0.89663,0.0002,0.0002,0.0002
2,41.4337,2.30795,1.49587,0.9494,0.75249,0.72464,0.7401,0.33824,1.90044,2.79855,0.86429,0.000411684,0.000411684,0.000411684
3,61.2663,1.99639,1.13832,0.89216,0.78855,0.8107,0.82716,0.38438,1.9402,3.02137,0.85787,0.000614656,0.000614656,0.000614656
4,80.9682,2.03153,1.0329,0.87662,0.88591,0.77536,0.80805,0.36557,1.9816,2.06789,0.87378,0.000808916,0.000808916,0.000808916
5,100.202,1.97377,0.95137,0.87508,0.91784,0.80953,0.82491,0.32229,1.98578,1.4482,0.87385,0.000994464,0.000994464,0.000994464
6,119.094,1.9804,0.94077,0.86634,0.94996,0.86957,0.90308,0.42701,1.83697,1.37958,0.85292,0.0011713,0.0011713,0.0011713
7,138.83,1.87469,0.89411,0.87509,0.93558,0.84198,0.91087,0.44551,1.76833,1.56356,0.85336,0.00133942,0.00133942,0.00133942
8,158.776,1.94565,0.96117,0.8647,0.92248,0.86231,0.91711,0.48085,1.70369,0.84472,0.85027,0.00149884,0.00149884,0.00149884
9,178.189,1.80152,0.87744,0.84951,0.91526,0.86098,0.91007,0.42744,1.73338,1.1795,0.84627,0.00164954,0.00164954,0.00164954
10,200.139,1.77665,0.83666,0.85261,0.91125,0.83333,0.89744,0.46026,1.77873,0.92393,0.85308,0.0016436,0.0016436,0.0016436
11,228.254,1.69486,0.80244,0.85897,0.94277,0.83563,0.91025,0.4754,1.85168,0.81937,0.86033,0.001604,0.001604,0.001604
12,246.68,1.72078,0.80229,0.85528,0.94245,0.83333,0.92258,0.47366,1.74814,0.75472,0.84792,0.0015644,0.0015644,0.0015644
13,265.651,1.64508,0.72196,0.85466,0.96776,0.87681,0.92909,0.52709,1.62309,0.76149,0.83939,0.0015248,0.0015248,0.0015248
14,284.189,1.69404,0.7562,0.83715,0.95465,0.86232,0.92003,0.42388,2.04974,0.79593,0.87597,0.0014852,0.0014852,0.0014852
15,302.651,1.6161,0.73907,0.8435,0.93333,0.80435,0.87018,0.35526,2.08536,0.94551,0.87828,0.0014456,0.0014456,0.0014456
16,321.238,1.63389,0.72931,0.83537,0.94376,0.85126,0.91985,0.51677,1.68277,0.80318,0.85081,0.001406,0.001406,0.001406
17,339.874,1.62002,0.71501,0.83779,0.94457,0.86232,0.91583,0.49219,1.66899,0.7277,0.842,0.0013664,0.0013664,0.0013664
18,359.108,1.57381,0.69677,0.82212,0.96773,0.8693,0.93569,0.54331,1.51307,0.69143,0.82784,0.0013268,0.0013268,0.0013268
19,378.235,1.52068,0.67584,0.82329,0.96065,0.88448,0.96374,0.54097,1.51706,0.70774,0.83071,0.0012872,0.0012872,0.0012872
20,397.171,1.55958,0.67262,0.83297,0.98007,0.86957,0.95389,0.56317,1.51117,0.69844,0.82567,0.0012476,0.0012476,0.0012476
21,415.829,1.39835,0.64532,0.82458,0.98093,0.8913,0.96573,0.57358,1.47975,0.64298,0.82657,0.001208,0.001208,0.001208
